country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Benin,BJ,BEN,204,Minimum diet diversity (children aged 6 to 23 months),2012,28.7,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Benin,BJ,BEN,204,Minimum diet diversity (children aged 6 to 23 months),2014,21.4,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Benin,BJ,BEN,204,Minimum diet diversity (children aged 6 to 23 months),2018,25.9,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Bhutan,BT,BTN,64,Minimum diet diversity (children aged 6 to 23 months),2015,20.7,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Bhutan,BT,BTN,64,Minimum diet diversity (children aged 6 to 23 months),2015,10.2,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Bhutan,BT,BTN,64,Minimum diet diversity (children aged 6 to 23 months),2015,15.5,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
"Bolivia, Plurinational State of",BO,BOL,68,Minimum diet diversity (children aged 6 to 23 months),2008,65.4,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Bolivia,BO,BOL,68,Minimum diet diversity (children aged 6 to 23 months),2008,65.4,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
"Bolivia, Plurinational State of",BO,BOL,68,Minimum diet diversity (children aged 6 to 23 months),2016,70.2,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Bolivia,BO,BOL,68,Minimum diet diversity (children aged 6 to 23 months),2016,70.2,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
"Bolivia, Plurinational State of",BO,BOL,68,Minimum diet diversity (children aged 6 to 23 months),2008,63.6,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Bolivia,BO,BOL,68,Minimum diet diversity (children aged 6 to 23 months),2008,63.6,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
"Bolivia, Plurinational State of",BO,BOL,68,Minimum diet diversity (children aged 6 to 23 months),2016,70.8,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Bolivia,BO,BOL,68,Minimum diet diversity (children aged 6 to 23 months),2016,70.8,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
"Bolivia, Plurinational State of",BO,BOL,68,Minimum diet diversity (children aged 6 to 23 months),2008,64.4,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Bolivia,BO,BOL,68,Minimum diet diversity (children aged 6 to 23 months),2008,64.4,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
"Bolivia, Plurinational State of",BO,BOL,68,Minimum diet diversity (children aged 6 to 23 months),2016,70.5,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Bolivia,BO,BOL,68,Minimum diet diversity (children aged 6 to 23 months),2016,70.5,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Burkina Faso,BF,BFA,854,Minimum diet diversity (children aged 6 to 23 months),2010,5.4,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Burkina Faso,BF,BFA,854,Minimum diet diversity (children aged 6 to 23 months),2019,35.7,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Burkina Faso,BF,BFA,854,Minimum diet diversity (children aged 6 to 23 months),2010,5,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Burkina Faso,BF,BFA,854,Minimum diet diversity (children aged 6 to 23 months),2019,35.5,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Burkina Faso,BF,BFA,854,Minimum diet diversity (children aged 6 to 23 months),2010,5.2,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Burkina Faso,BF,BFA,854,Minimum diet diversity (children aged 6 to 23 months),2019,35.6,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Burundi,BI,BDI,108,Minimum diet diversity (children aged 6 to 23 months),2010,17.4,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Burundi,BI,BDI,108,Minimum diet diversity (children aged 6 to 23 months),2016,17.9,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Burundi,BI,BDI,108,Minimum diet diversity (children aged 6 to 23 months),2010,16.2,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Burundi,BI,BDI,108,Minimum diet diversity (children aged 6 to 23 months),2016,19,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Burundi,BI,BDI,108,Minimum diet diversity (children aged 6 to 23 months),2010,16.8,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Burundi,BI,BDI,108,Minimum diet diversity (children aged 6 to 23 months),2016,18.5,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Cambodia,KH,KHM,116,Minimum diet diversity (children aged 6 to 23 months),2005,23.4,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Cambodia,KH,KHM,116,Minimum diet diversity (children aged 6 to 23 months),2010,29.4,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Cambodia,KH,KHM,116,Minimum diet diversity (children aged 6 to 23 months),2014,40.5,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Cambodia,KH,KHM,116,Minimum diet diversity (children aged 6 to 23 months),2005,26.8,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Cambodia,KH,KHM,116,Minimum diet diversity (children aged 6 to 23 months),2010,30.7,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Cambodia,KH,KHM,116,Minimum diet diversity (children aged 6 to 23 months),2014,40.3,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Cambodia,KH,KHM,116,Minimum diet diversity (children aged 6 to 23 months),2005,25.1,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Cambodia,KH,KHM,116,Minimum diet diversity (children aged 6 to 23 months),2010,30.1,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Cambodia,KH,KHM,116,Minimum diet diversity (children aged 6 to 23 months),2014,40.4,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Cameroon,CM,CMR,120,Minimum diet diversity (children aged 6 to 23 months),2011,23.1,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Cameroon,CM,CMR,120,Minimum diet diversity (children aged 6 to 23 months),2014,24.6,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Cameroon,CM,CMR,120,Minimum diet diversity (children aged 6 to 23 months),2018,19.7,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Cameroon,CM,CMR,120,Minimum diet diversity (children aged 6 to 23 months),2011,26.8,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Cameroon,CM,CMR,120,Minimum diet diversity (children aged 6 to 23 months),2014,22.1,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Cameroon,CM,CMR,120,Minimum diet diversity (children aged 6 to 23 months),2018,19.9,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Cameroon,CM,CMR,120,Minimum diet diversity (children aged 6 to 23 months),2011,25,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Cameroon,CM,CMR,120,Minimum diet diversity (children aged 6 to 23 months),2014,23.3,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Cameroon,CM,CMR,120,Minimum diet diversity (children aged 6 to 23 months),2018,19.8,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Central African Republic,CF,CAF,140,Minimum diet diversity (children aged 6 to 23 months),2010,27.5,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Central African Republic,CF,CAF,140,Minimum diet diversity (children aged 6 to 23 months),2010,25.8,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Central African Republic,CF,CAF,140,Minimum diet diversity (children aged 6 to 23 months),2010,26.6,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Chad,TD,TCD,148,Minimum diet diversity (children aged 6 to 23 months),2015,9.1,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Chad,TD,TCD,148,Minimum diet diversity (children aged 6 to 23 months),2019,10.5,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Chad,TD,TCD,148,Minimum diet diversity (children aged 6 to 23 months),2019,22.8,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Chad,TD,TCD,148,Minimum diet diversity (children aged 6 to 23 months),2015,9.5,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Chad,TD,TCD,148,Minimum diet diversity (children aged 6 to 23 months),2019,9.2,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Chad,TD,TCD,148,Minimum diet diversity (children aged 6 to 23 months),2019,23.9,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Chad,TD,TCD,148,Minimum diet diversity (children aged 6 to 23 months),2015,9.3,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
